Player,Salary,Pos,Age,Tm,G,MP,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,BPM,VORP
Ian Mahinmi,"$16,661,641 ",C,31,WAS,74,1096,12.9,0.614,15.4,6.9,1.7,3.2,24.4,15.6,1,1.4,2.4,-0.1,0.5
Ian Clark,"$1,577,230 ",SG,26,NOP,72,1398,9.1,0.525,4.7,10.1,1.1,0.6,10.2,17.3,0.1,0.8,0.9,-4.2,-0.8
Henry Ellenson,"$1,780,800 ",PF,21,DET,34,242,7.7,0.422,13.9,10.7,0.6,0,10.8,23.6,-0.4,0.3,-0.2,-8.3,-0.4
Hassan Whiteside,"$23,775,506 ",C,28,MIA,51,1303,24.1,0.578,25.6,6.8,1.4,5.8,12.8,24.4,2.2,3,5.2,0.2,0.7
Harrison Barnes,"$23,112,004 ",PF,25,DAL,75,2561,16,0.542,10,10,1,0.5,8.2,25.2,2.1,1.9,4,-1.8,0.1
Guerschon Yabusele,"$2,247,480 ",PF,22,BOS,31,182,10.5,0.543,12.4,11.1,0.6,0.9,17.3,15.6,0.1,0.2,0.4,-1.5,0
Greg Monroe,"$17,884,176 ",C,27,TOT,47,951,20.2,0.586,18.4,16.8,2,1.7,17.9,22.4,1.3,1.4,2.7,1.3,0.8
Greg Monroe,"$17,884,176 ",C,27,BOS,22,407,21,0.552,18.5,16.3,2.7,2.9,17.7,25.4,0.4,0.9,1.3,2.4,0.5
Greg Monroe,"$17,884,176 ",C,27,PHO,20,465,21,0.642,18.4,18.3,1.6,1,18.6,19.6,1,0.4,1.4,2.3,0.5
Greg Monroe,"$17,884,176 ",C,27,MIL,5,79,11.1,0.489,18.7,10.2,0,0,14.7,23.4,-0.1,0,0,-9.7,-0.2
Gorgui Dieng,"$14,112,360 ",C,28,MIN,75,1281,14.2,0.536,15.4,7.6,1.7,2.5,12.4,16.2,1.3,1.2,2.5,-0.7,0.4
Gordon Hayward,"$29,727,900 ",SF,27,BOS,1,5,7.4,0.5,11,0,0,0,0,17.9,0,0,0,-11.9,0
Goran Dragic,"$17,000,450 ",PG,31,MIA,73,2324,16.8,0.544,7.3,25.4,1.3,0.4,12.1,25.8,3,2.4,5.4,0.1,1.2
Glenn Robinson,"$1,524,305 ",SF,24,IND,19,241,8.9,0.443,6.1,7.2,2.3,0.4,3.1,11.9,0.1,0.2,0.3,-2.7,0
Giannis Antetokounmpo,"$22,471,910 ",PF,23,MIL,73,2698,27.7,0.603,16,23.7,1.9,3.3,11.6,31.3,8.6,3.5,12.1,5.9,5.4
Gian Clavell,"$50,000 ",SG,24,DAL,7,64,7.4,0.53,6.1,6.7,1.6,0,9.6,14.8,0,0,0.1,-3.5,0
Gerald Green,"$947,248 ",SG,32,HOU,37,825,14,0.558,8,4.4,1.4,1.3,5.2,21.7,1,0.9,1.9,-1.8,0.1
Georgios Papagiannis,"$2,301,360 ",C,20,SAC,16,118,10.7,0.415,17.4,11.5,0.9,4.8,16.3,18.6,-0.2,0.1,0,-5.1,-0.1
Georges Niang,"$100,000 ",PF,24,UTA,7,18,15,0.394,15.8,26.7,5.6,0,18.4,27.3,0,0,0,1.5,0
George Hill,"$20,000,000 ",PG,31,TOT,65,1783,13.2,0.581,5.7,14.9,1.6,1.3,13.2,16.4,2.3,0.8,3.1,-0.7,0.6
George Hill,"$20,000,000 ",PG,31,SAC,43,1143,14,0.597,5.8,15.5,1.7,1,14,16.9,1.6,0.5,2.1,-0.7,0.4
George Hill,"$20,000,000 ",PG,31,CLE,22,640,12,0.55,5.3,13.8,1.4,1.9,11.7,15.5,0.7,0.3,1,-0.8,0.2
Gary Payton,"$50,000 ",PG,25,LAL,7,43,7.8,0.357,7.4,12.8,0,3.8,0,13.8,0,0,0,-4.3,0
Gary Payton,"$50,000 ",PG,25,TOT,19,149,7.6,0.414,8.9,12.4,1,1.7,5.8,15.3,0,0.1,0.1,-5.2,-0.1
Gary Payton,"$50,000 ",PG,25,MIL,12,106,7.6,0.437,9.5,12.2,1.4,0.8,8,16,0,0.1,0,-5.5,-0.1
Gary Harris,"$2,550,055 ",SG,23,DEN,65,2265,16.6,0.599,4.3,13.1,2.6,0.6,11,20.6,3.9,1.4,5.4,1,1.7
